review,rating,id,label
"Cinderella is a beautiful film, with beautiful songs of course. In fact, it's one of the best films of the 1950's.<br /><br />I think all the characters are portrayed amazingly. You can see the cruelness of Cinderella's stepsisters and her stepmother, the sweetness of Cinderella. The mice are funny and sweet too.<br /><br />I think they changed the tale a bit, but I think it's for the best. It's such a nice film, and I don't think anyone could resist it deep down.<br /><br />I give it a 8/10. I don't think it's the best Disney film. But it sure is a true classic.",8,6,positive
"HLOTS was an outstanding series, its what NYPD Blue will never be, on HLOTS the plots are real, the dialog is real, the Relationships are real. With HLOTS back as a movie, Tying up all the loose ends, it was good to have all the gang back together, even a few that passed away show up (wont say how) The storyline was fast paced, emotional and full of the spirit the series had week in and week out. Homicide , Life on the Streets, Network drama at Its BEST!!!! 5 STARS!!!! Thumbs UP and all That. Thanks NBC for giving us the Finally we didn't get!",0,_,positive
"It was easy for Sir Richard Attenborough to make Gandhi (1982)he was merely narrating a story of a great individual who walked on this planet not so long ago. Comparatively, it must have been a lot tougher for director Feroz Abbas Khan making his debut as a filmmaker to make Gandhi my father, pitting a shriveled anti-hero against an international hero, both of whom were historically real individuals, and ironically father and son. The events in the film are mostly real. Mahatma Gandhi lived as shown in the film, setting high moral standards for the world to follow. Yet these very standards overshadowed the aspirations of his eldest son Harilal to be a lawyer of repute like his father, to complete his education and get a job in India and thus provide income for his nuclear family.<br /><br />The film does not debunk Gandhi and his ideals. For Gandhi, his mission was larger than his family's aspirations. He loved his family and cared for them, though his thoughts for their appeasement were blinkered by his ideal of caring for the masses. He stood for equality and dignity among all persons and in his view to give special undue advantages to his own son overlooking other deserving persons went against the basis of what he preached. The film looks at an unusual case of parentingwhere an idealist parent places receding goalposts for a less-than-brilliant offspring. <br /><br />The film presents an unusual scenario that happened. A son marries his childhood sweetheart, upsetting his father. The father upsets his son's educational aspirations at several key junctures. The fragile link between a devoted son and a father breaks, as the son wants to stand on his own feet and care for his nuclear family. While the father gradually becomes the father of a nation, the son stumbles in valiant quest for identity and survival. His marriage breaks and seeks solace in religion, buffeting between Islam and Hinduism. Through all his tribulations his link to his mother remains, until she chides him for being drunk.<br /><br />Feroz Khan is essentially a director of plays making his foray into cinema. He wrote and directed the play Mahatma vs. Gandhi that had considerable impact on the Indian theater community. The play and the consequent film were based on two biographies, one by Chandulal Dalal and another by Nilamben Parekh, The success of the staged play was an evident reason for the commercial Bollywood actor Anil Kapoor to produce this noteworthy film. Every time a good director of plays attempts to direct cinema there is an evidence of a lack of confidence with the medium. Peter Brook is a great director of plays, but less competent as a film director. The opening shots of Khan's film promises great cinemaa derelict Harilal Gandhi is brought to Sion Hospital, Bombay (Mumbai) barely mumbling that his father is Bapu (the popular name of Mahatma Gandhi), father to an entire nation. The hospital authorities do not recognize him to be Mahatma Gandhi's eldest son, dying in poverty and loneliness. Apart from the dramatic opening, the film unfortunately merely presents a great story and some superb exterior shots of father and son meditating in silhouette. For an Indian film it does present some high production qualities that go hand in hand with a lack of interest for details (the clothes of most Indians in the film seem dust-free and freshly laundered, modern hairstyles of actors, and even Shefali Shetty playing Mohandas Gandhi's wife a century ago with plucked eyebrows), the bane of Indian cinema. Since Feroz Khan is a theater personality, he has invested much more effort in working with the actors in developing the characters rather than on cinematic details, somewhat like Sir Attenborough another person who is also a product of theater (Royal Academy of Dramatic Arts).<br /><br />Knowing quite well that to criticize Gandhi in any manner was asking for trouble, even when there was no direct criticism in the film, producer Anil Kapoor took a remarkable decision of not putting up posters of the film at accessible heights in India, fearing that some one could tear the poster or disrespect it intentionally or unintentionally. <br /><br />With all its mix of greatness and faults, Gandhi, my father throws several questions at the viewer. Is a mother-son bonding stronger than a father-son bonding in parenting? Is one's immediate family less important than humanity at large? Does one seek refuge in religion and alcohol only when worldly troubles are encountered? In this film, Harilal buffeted by adversities runs from one religion to another, while his father quotes scriptures ""Forgive them for they know not what they do"" when beaten and thrown on the ground by a South African policeman, convinced of the value of religion and convincing others as well.<br /><br />The film won the Best actress award at the Tokyo International Film Festival for Shefali Shetty (Shah) and an Indian award from critics. Feroze Khan and Anil Kapoor have handled a sensitive subject very well and elicited above-average performances from the ensemble of actors. I do hope the international success of the film paves the way for some able director to film another brilliant Indian play Girish Karnad's Tughlaq some day meeting international quality standards.",8,9,positive
"Most 70s (and 80s) Kong Kong martial arts films barely function as movies; usually there are a few well-planned fight sequences, but the plot is scraped pretty thin to fill in the gaps between those nodes -- like porno films, really.<br /><br />But this one does several things well. Most overtly, there is the direction and choreography, which confines each combatant to a 'style' -- it's really based on Chinese circus acrobatics and comedic theater, but the effect works.<br /><br />Second, there is the language of the camera, which uses some impressive techniques(even by today's measure), changing projection speeds from real time time to slow motion, and from unfiltered to filtered views to depict story direction toward the past or toward the future.<br /><br />Least overt, but most powerful and unexpected, is the construction. The winner of this contest is determined by who 'unfolds' the story. The master (the writer) sets up a game where the lead character doesn't know who he's seeking, which is the same situation we viewers find ourselves in. One by one, he figures out who is who, at the same rate we find out who is who. It all follows a tragedy/noir arc. The ending tends toward irony, a la ""The Sting"". Much more clever stuff than what we usually get out of this genre.<br /><br />The 'five venoms' idea is the template for Tarantino's 'deadly viper assassins' from the ""Kill Bill"" volumes.",8,6,positive
"This is my third comment here attempting to connect two legendary movie comedy teams: Laurel & Hardy and Abbott & Costello. The connection here is the year 1940. That's the date that the former had their last movie from their longtime home studio of Hal Roach. I'll mention the significance of the latter later on. Besides being the last time Stan and Ollie worked at the Lot of Fun, it's also the final time they would appear with such familiar supporting players like Charlie Hall and James Finlayson who appeared in most of their films. It's also the last time Art Lloyd would serve as their cameraman and Marvin Hatley-who composed their theme song which would be known as ""The Cuckoo Song (Dance of the Cuckoos)""-their score. And it would be the very last time Stan Laurel would be allowed to exercise complete creative control over what goes on film. If there is a more gag-laden structure than usual in this L & H film, it's nice to know most of those gags are indeed funny. That includes most of the sound and visual effects, the latter provided by longtime Roach staffer Roy Seawright. In this one, Ollie has ""hornophobia"" from working at a noisy horn factory so Dr. Finlayson prescribes going out to sea for his rest. Ollie doesn't like to go boating so Stan suggests they just rent one that's docked so they wouldn't have to go anywhere. After they find one they like, we find out that convict Nick Grainger (Richard Cramer) has just escaped...I'll stop there and say this was as good a finale for L & H's longtime home as one could hope for. It's hilarious mostly from beginning to end and knowing this would be their last for the man partly responsible for their teaming is indeed poignant when one thinks of it. Oh, and I have a couple more lasts to mention: it's the final film appearance of both Harry Bernard, who plays a harbor patrolman after years of encountering Stan and Ollie as a policeman, and that of Ben Turpin, the cross-eyed comic who was born in New Orleans which is a couple of hours away from my current hometown of Baton Rouge, whose second L & H appearance this was having previously ""married"" the boys in Our Wife. The latter performer especially has a genuine comic moment. All right, I mentioned 1940 being the year Stan and Ollie had their last movie released from Hal Roach Studios. It was also the first year that a comedy team, both born in the state of New Jersey, would make their first picture at what would be their home studio, Universal. The director of that movie would be the same one that guided L & H in The Flying Deuces the previous year. His name was A. Edward Sutherland. P.S. It was during this filming that script supervisor Virginia Lucille Jones had an accident involving a rolled-up carpet. That incident caused Oliver ""Babe"" Hardy to send her roses to her hospital room. They fell in love and married on March 7, 1940. It lasted until Babe's death in 1957.",9,4,positive
"Hitokiri (which translates roughly as ""assassination""), a/k/a ""Tenchu"" which translates roughly as ""divine punishment"") showcases Hideo Gosha at the top of his form. Do NOT miss this one, or Gosha's other classic, Goyokin! Hitokiri is not only one of Gosha's best films, it's one of the best ""samurai/chambara"" films ever made, and perhaps one of the best Japanese films ever exported.<br /><br />Be warned, all of the intricate plot details in Hitokiri can be a little hard to follow for those unfamiliar with 19th century Japanese history. Even so, the underlying human drama is obvious and open to all viewers. As per the norm for Gosha, Hitokiri provides yet another variation on his traditional theme of ""loyalty to one's lord"" vs. ""doing the right thing"". However, Gosha develops his favorite theme with such sophistication, that it's really _the_ movie to see (along with Goyokin, of course).<br /><br />I suppose it breaks down like this: If you want a simpler, more action-oriented tale, you might want to see Goyokin. However, if you want a more thoughtful, multilayered (albeit grim) drama, see this one.<br /><br />(OK, OK, essentially, the historical backdrop is a massive power grap between many different samurai clans who are either (1) working to reform, yet retain, the Tokugawa Shogunate, and (2) those who are trying to install the Emperor Meiji as the supreme ruler of Japan. Of course, those clans working ""for"" Emperor Meiji were often less interested in ""reforming"" Japan than in ensuring their own clan more power in the ""new world order"". Ironically, the entire feudal system was officially abolished as one of the first reforms of the Meiji government. It's ironic twists like this -- Gosha's big on irony -- that make the entire plot all the more bittersweet.)<br /><br />What distinguishes ""Hitokiri"" from Gosha's other movies is Gosha's mature sense of cinematography. Every shot is thoughtfully composed, and (much like Kubrick's Barry Lyndon) each frame of the movie could hold its own as a still composition. Of course, this is typical Gosha. Hitokiri really stands out with stunning backdrops, including(as with Goyokin) many riveting seascapes. Just watch the opening sequence, and you're hooked! Make no mistake, this is no English period piece: Hitokiri is extremely violent (don't say you weren't warned).<br /><br />What else, other than cool camera work, makes Hitokiri stand out? The performances seem (to me) a bit more subtle in this one. Katsu Shintaro (of Zatoichi/Hanzo the Razor fame) turns in a star performance as the conflicted protagonist/antihero, Okada Izo. Katsu manages to instill humanity to a character that seems almost more wild animal than villain. Throughout the movie, you're never quite sure if you're engaged or revolted by Okada's character. At the same time, Katsu's portrayal of Okada's ravenous hunger for respect, and his later pathetic attempts at redemption, seem so human that you can't help but feel empathy/sympathy. Of course, after seeing Nakadai Tatsuya play the tortured hero in ""Goyokin"", it's great to see him play such a ruthless villain in ""Hitokiri"". He's just perfect, there's nothing more to say!<br /><br />As a final note, perhaps more interesting to buffs than to casual fans, don't miss the last screen appearance of Mishima Yukio (yes, the closeted gay right-wing ultranationalist novelist who committed suicide by seppuku before the crowd of jeering Japanese military personnel he ""kidnapped"" in 1970, and had a movie on his life and work made by Paul Schrader), who actually does a pretty solid job of portraying the honorable (for an assassin) Shinbei Tanaka.",9,2,positive
"This long winded film turns out to be less about Berkowitz and his effect on NYC, but more about painting caricatures of a certain group of Italian-Americans, known locally as ""Guidos."" The problem is that ""Guidos"" are uninteresting, no matter what kind of story or setting they are immersed in. They are already living caricatures, so Lee only amplifies them, rather than simply portraying them.<br /><br />When someone has a caricature done of themselves, they don't go home and say, ""Hey, let's make the ears and nose even bigger!"" That's what Lee has done in this film. The most interesting characters in the film are the two (Adrian Brody and Jennifer Esposito) who wish to escape the ""Guido"" lifestyle. Top it off with an uninteresting storyline for the characters, particularly John Leguizamo's, and you get a nice film to fall asleep by. Especially considering it's lengthy run time.<br /><br />One more strike against it: For someone proclaiming to be a Yankees fan, and has grown up in New York, Spike Lee should know how to spell Phil Rizzuto, which is spelled incorrectly in the closing credits.",3,5,negative
"From everything I'd read about the movie, I was excited to support a film with a Christian theme. Everything about the movie was very unprofessionally done. Especially the writing! Without good writing a movie doesn't have a chance. The writer/director said in an interview that he didn't want to give away how the title relates to the story. Believe me, it was NO big surprise. I kept waiting for the teenage/young adult back-story to unfold, but it never did. As someone who has gone through a divorce, I was very disappointed. This movie would have been NO comfort to me when I first went through the emotional turmoil that divorce can bring to your life as a Christian!",2,3,negative
"May I start off by saying that Casey Affleck is a very talented actor and I respect his work very much. I wish he was in more movies that showcased his talent. With this said, Soul Survivors was a very, very bad movie. Very bad.<br /><br />I would have to say that I lay almost all the blame on the poor script. Affleck is a very talented actress, Wes Bentley had an outstanding performance in American Beauty, Melissa Sagemiller did well, and Eliza Dushku is currently the it girl in Hollywood. I don't think any of the actors really got into the script, and I understand why. To say that this movie belongs to the horror genre is an overstatement. It did have the twists and turns you would expect, but they just didn't lead anywhere... except to more confusion. I just found the ending very anti-climatic, because it just didn't seem to make any sense or really answer any of the questions that I had about the storyline.<br /><br />I wish I could give this movie a good review, but I can't. In all honesty, the only thing I think you will find scary about this movie is that you paid for it.",2,1,negative
"OK, I kinda like the idea of this movie. I'm in the age demographic, and I kinda identify with some of the stories. Even the sometimes tacky and meaningless dialogue seems semi-realistic, and in a different movie would have been forgivable.<br /><br />I'm trying as hard as possible not to trash this movie like the others did, but it's not that easy when the filmmakers weren't trying at all.<br /><br />The editing in this movie is terrible! Possibly the worst editing I've ever seen in a movie! There are things that you don't have to go to film school to learn, leaning good editing is not one of them, but identifying a bad one is.<br /><br />Also, the shot... Oh my God the shots, just awful! I can't even go into the details, but we sometimes just see random things popping up, and that, in conjunction with the editing will give you the most painful film viewing experience.<br /><br />This movie being made on low or no budget with 4 cast and crew is not an excuse also. I've seen short films on youtube with a lot more artistic integrity! Joe, Greta, I don't know what the heck you were thinking, but this movie is nothing but a masturbation of both your egos. You should be ashamed of yourselves! In conclusion, this movie is like what a really lazy amateur porn movie will be if it was filled with 3 or 4 lousy sex scenes separated by long boring conversations and one disgusting masturbation scene. If that's not your kind of thing, avoid this at all cost!",1,6,negative
